group,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
AJKU,0.05,120,0,0,0,0,120,1.0,0.0,0.0,0.0,0.0
AJKU,0.1,117,0,2,0,1,120,0.975,0.0,0.016666666666666666,0.0,0.008333333333333333
AJKU,0.15,111,0,4,0,5,120,0.925,0.0,0.03333333333333333,0.0,0.041666666666666664
AJKU,0.2,98,0,9,0,13,120,0.8166666666666667,0.0,0.075,0.0,0.10833333333333334
AJKU,0.25,84,2,12,2,20,120,0.7,0.016666666666666666,0.1,0.016666666666666666,0.16666666666666666
AJKU,0.3,62,7,20,2,29,120,0.5166666666666667,0.058333333333333334,0.16666666666666666,0.016666666666666666,0.24166666666666667
AJKU,0.35,47,8,30,7,28,120,0.39166666666666666,0.06666666666666667,0.25,0.058333333333333334,0.23333333333333334
AJKU,0.4,35,15,29,14,27,120,0.2916666666666667,0.125,0.24166666666666667,0.11666666666666667,0.225
AJKU,0.45,18,22,22,23,35,120,0.15,0.18333333333333332,0.18333333333333332,0.19166666666666668,0.2916666666666667
AJKU,0.5,7,18,29,26,40,120,0.058333333333333334,0.15,0.24166666666666667,0.21666666666666667,0.3333333333333333
AJKU,0.55,2,19,36,22,41,120,0.016666666666666666,0.15833333333333333,0.3,0.18333333333333332,0.3416666666666667
AJKU,0.6,3,10,38,40,29,120,0.025,0.08333333333333333,0.31666666666666665,0.3333333333333333,0.24166666666666667
AJKU,0.65,1,8,33,57,21,120,0.008333333333333333,0.06666666666666667,0.275,0.475,0.175
BDOX,0.05,53,30,0,30,7,120,0.44166666666666665,0.25,0.0,0.25,0.058333333333333334
BDOX,0.1,52,33,0,30,5,120,0.43333333333333335,0.275,0.0,0.25,0.041666666666666664
BDOX,0.15,44,32,0,29,15,120,0.36666666666666664,0.26666666666666666,0.0,0.24166666666666667,0.125
BDOX,0.2,41,36,0,29,14,120,0.3416666666666667,0.3,0.0,0.24166666666666667,0.11666666666666667
BDOX,0.25,34,35,0,27,24,120,0.2833333333333333,0.2916666666666667,0.0,0.225,0.2
BDOX,0.3,28,38,0,24,30,120,0.23333333333333334,0.31666666666666665,0.0,0.2,0.25
BDOX,0.35,25,45,0,24,26,120,0.20833333333333334,0.375,0.0,0.2,0.21666666666666667
BDOX,0.4,17,42,0,35,26,120,0.14166666666666666,0.35,0.0,0.2916666666666667,0.21666666666666667
BDOX,0.45,10,41,0,45,24,120,0.08333333333333333,0.3416666666666667,0.0,0.375,0.2
BDOX,0.5,10,45,0,44,21,120,0.08333333333333333,0.375,0.0,0.36666666666666664,0.175
BDOX,0.55,8,41,0,53,18,120,0.06666666666666667,0.3416666666666667,0.0,0.44166666666666665,0.15
BDOX,0.6,7,36,0,60,17,120,0.058333333333333334,0.3,0.0,0.5,0.14166666666666666
BDOX,0.65,2,28,0,75,15,120,0.016666666666666666,0.23333333333333334,0.0,0.625,0.125
GRTV,0.05,120,0,0,0,0,120,1.0,0.0,0.0,0.0,0.0
GRTV,0.1,120,0,0,0,0,120,1.0,0.0,0.0,0.0,0.0
GRTV,0.15,120,0,0,0,0,120,1.0,0.0,0.0,0.0,0.0
GRTV,0.2,117,0,0,0,3,120,0.975,0.0,0.0,0.0,0.025
GRTV,0.25,104,4,3,1,8,120,0.8666666666666667,0.03333333333333333,0.025,0.008333333333333333,0.06666666666666667
GRTV,0.3,81,6,13,5,15,120,0.675,0.05,0.10833333333333334,0.041666666666666664,0.125
GRTV,0.35,52,16,17,12,23,120,0.43333333333333335,0.13333333333333333,0.14166666666666666,0.1,0.19166666666666668
GRTV,0.4,34,26,20,24,16,120,0.2833333333333333,0.21666666666666667,0.16666666666666666,0.2,0.13333333333333333
GRTV,0.45,22,33,13,35,17,120,0.18333333333333332,0.275,0.10833333333333334,0.2916666666666667,0.14166666666666666
GRTV,0.5,13,29,12,43,23,120,0.10833333333333334,0.24166666666666667,0.1,0.35833333333333334,0.19166666666666668
GRTV,0.55,7,32,14,50,17,120,0.058333333333333334,0.26666666666666666,0.11666666666666667,0.4166666666666667,0.14166666666666666
GRTV,0.6,2,26,13,61,18,120,0.016666666666666666,0.21666666666666667,0.10833333333333334,0.5083333333333333,0.15
GRTV,0.65,1,18,17,75,9,120,0.008333333333333333,0.15,0.14166666666666666,0.625,0.075
HMNW,0.05,30,90,0,0,0,120,0.25,0.75,0.0,0.0,0.0
HMNW,0.1,30,90,0,0,0,120,0.25,0.75,0.0,0.0,0.0
HMNW,0.15,30,90,0,0,0,120,0.25,0.75,0.0,0.0,0.0
HMNW,0.2,30,90,0,0,0,120,0.25,0.75,0.0,0.0,0.0
HMNW,0.25,30,90,0,0,0,120,0.25,0.75,0.0,0.0,0.0
HMNW,0.3,30,90,0,0,0,120,0.25,0.75,0.0,0.0,0.0
HMNW,0.35,29,84,0,7,0,120,0.24166666666666667,0.7,0.0,0.058333333333333334,0.0
HMNW,0.4,27,75,0,18,0,120,0.225,0.625,0.0,0.15,0.0
HMNW,0.45,20,58,0,42,0,120,0.16666666666666666,0.48333333333333334,0.0,0.35,0.0
HMNW,0.5,15,44,0,61,0,120,0.125,0.36666666666666664,0.0,0.5083333333333333,0.0
HMNW,0.55,8,29,0,83,0,120,0.06666666666666667,0.24166666666666667,0.0,0.6916666666666667,0.0
HMNW,0.6,6,18,0,96,0,120,0.05,0.15,0.0,0.8,0.0
HMNW,0.65,2,8,0,110,0,120,0.016666666666666666,0.06666666666666667,0.0,0.9166666666666666,0.0
JLRX,0.05,120,0,0,0,0,120,1.0,0.0,0.0,0.0,0.0
JLRX,0.1,120,0,0,0,0,120,1.0,0.0,0.0,0.0,0.0
JLRX,0.15,118,0,1,0,1,120,0.9833333333333333,0.0,0.008333333333333333,0.0,0.008333333333333333
JLRX,0.2,113,0,5,0,2,120,0.9416666666666667,0.0,0.041666666666666664,0.0,0.016666666666666666
JLRX,0.25,107,1,4,2,6,120,0.8916666666666667,0.008333333333333333,0.03333333333333333,0.016666666666666666,0.05
JLRX,0.3,90,7,12,4,7,120,0.75,0.058333333333333334,0.1,0.03333333333333333,0.058333333333333334
JLRX,0.35,66,18,9,11,16,120,0.55,0.15,0.075,0.09166666666666666,0.13333333333333333
JLRX,0.4,50,25,9,16,20,120,0.4166666666666667,0.20833333333333334,0.075,0.13333333333333333,0.16666666666666666
JLRX,0.45,29,27,17,29,18,120,0.24166666666666667,0.225,0.14166666666666666,0.24166666666666667,0.15
JLRX,0.5,16,25,14,42,23,120,0.13333333333333333,0.20833333333333334,0.11666666666666667,0.35,0.19166666666666668
JLRX,0.55,5,27,14,52,22,120,0.041666666666666664,0.225,0.11666666666666667,0.43333333333333335,0.18333333333333332
JLRX,0.6,1,20,18,60,21,120,0.008333333333333333,0.16666666666666666,0.15,0.5,0.175
JLRX,0.65,0,18,12,78,12,120,0.0,0.15,0.1,0.65,0.1
